89 , 1
80 , 1
84 , 1
83 , 1
84 , 2
84 , 3
78 , 1
76 , 1
77 , 1
76 , 2
73 , 1
78 , 2
76 , 3
75 , 3
70 , 1
67 , 1
66 , 1
65 , 1
60 , 1
64 , 1
66 , 2
44 , 1
48 , 1
51 , 1
51 , 2
51 , 3
53 , 1
56 , 1
55 , 1
51 , 4
33 , 1
35 , 1
33 , 2
34 , 2
39 , 1
34 , 3
33 , 3
30 , 1
28 , 1
25 , 1
25 , 2
29 , 1
25 , 3
26 , 3
21 , 1
24 , 3
19 , 1
5 , 1
11 , 1
14 , 1
15 , 1
15 , 2
16 , 2
17 , 2
14 , 2
18 , 2
22 , 1
22 , 2
22 , 3
26 , 4
28 , 2
25 , 4
29 , 2
30 , 2
30 , 3
32 , 3
23 , 3
20 , 1
17 , 3
18 , 3
19 , 3
25 , 5
23 , 4
21 , 3
15 , 3
19 , 4
23 , 5
13 , 2
14 , 3
16 , 3
15 , 4
20 , 4
22 , 5
20 , 5
18 , 4
17 , 4
19 , 5
22 , 6
18 , 5
20 , 6
24 , 5
27 , 4
31 , 3
28 , 4
29 , 4
33 , 4
30 , 4
31 , 4
26 , 5
22 , 7
23 , 7
25 , 6
20 , 7
9 , 1
49 , 1
45 , 1
42 , 1
41 , 1
43 , 1
95 , 1
112 , 1
108 , 1
107 , 1
110 , 1
114 , 1
117 , 1
117 , 2
130 , 1
131 , 1
125 , 1
127 , 1
126 , 1
126 , 2
124 , 1
139 , 1
142 , 1
144 , 1
143 , 1
140 , 1
138 , 1
144 , 2
146 , 1
147 , 1
149 , 1
147 , 2
149 , 2
153 , 1
147 , 3
106 , 1
104 , 1
101 , 1
98 , 1
96 , 1
98 , 2
101 , 2
100 , 2
100 , 3
96 , 2
97 , 2
93 , 1
90 , 1
88 , 1
85 , 3
78 , 3
83 , 3
87 , 1
89 , 2
25 , 7
26 , 7
24 , 7
22 , 8
17 , 5
17 , 6
18 , 6
17 , 7
20 , 8
20 , 9
11 , 2
13 , 3
13 , 4
15 , 5
16 , 7
15 , 7
29 , 5
32 , 4
29 , 6
32 , 5
41 , 2
42 , 2
38 , 1
40 , 2
11 , 3
13 , 5
11 , 4
10 , 4
10 , 5
13 , 6
15 , 8
23 , 8
20 , 10
20 , 11
20 , 12
25 , 8
21 , 12
19 , 12
13 , 7
16 , 8
2 , 1
6 , 1
7 , 1
7 , 2
7 , 3
8 , 3
11 , 5
14 , 8
3 , 1
2 , 2
1 , 2
3 , 2
2 , 3
6 , 3
8 , 4
6 , 4
13 , 8
14 , 9
16 , 9
24 , 8
26 , 8
22 , 12
20 , 13
24 , 9
40 , 3
40 , 4
53 , 2
55 , 2
52 , 4
52 , 5
56 , 2
